title,releaseDate,productionCompany
Wings over Everest,1999-09-19,Gaumont-British
Three Orphan Kittens,1935-10-26,Walt Disney Productions
Who Killed Cock Robin?,1935-06-26,Walt Disney Productions
Gold Diggers of 1935,1935-03-16,Warner Bros.
Roberta,1935-03-08,RKO Radio Pictures
Bride of Frankenstein,1935-04-19,Universal Pictures
Thanks a Million,1935-10-25,Twentieth Century Pictures
Barbary Coast,1935-10-13,Samuel Goldwyn Productions
Broadway Hostess,1935-12-07,First National Pictures
She,1935-07-12,RKO Radio Pictures
The Great Ziegfeld,1936-03-22,Metro-Goldwyn-Mayer
Anthony Adverse,1936-07-29,Warner Bros. Pictures
Dodsworth,1936-09-23,Samuel Goldwyn Productions
Libeled Lady,1936-10-09,Metro-Goldwyn-Mayer
Mr. Deeds Goes to Town,1936-04-12,Columbia Pictures Corp. of Calif. LTD.
Romeo and Juliet,1936-08-20,Metro-Goldwyn-Mayer
San Francisco,1936-06-26,Metro-Goldwyn-Mayer
A Tale of Two Cities,1935-12-27,Metro-Goldwyn-Mayer
Three Smart Girls,1936-12-20,Universal Pictures
My Man Godfrey,1936-09-06,Universal Pictures
Come and Get It,1936-11-06,Samuel Goldwyn Productions
These Three,1936-03-18,Samuel Goldwyn Productions
After the Thin Man,1936-12-25,Metro-Goldwyn-Mayer
The Country Cousin,1936-10-31,Walt Disney Productions
The Old Mill Pond,1936-03-07,Harman-Ising Productions
Popeye the Sailor Meets Sindbad the Sailor,1936-11-27,Fleischer Studios
The Charge of the Light Brigade,1936-10-20,Warner Bros. Pictures
The Garden of Allah,1936-11-19,Selznick International Pictures
Swing Time,1936-08-27,RKO Radio Pictures
Suzy,1936-07-20,Metro-Goldwyn-Mayer
Born to Dance,1936-11-27,Metro-Goldwyn-Mayer
The Trail of the Lonesome Pine,1936-03-13,Walter Wanger Productions
Pennies from Heaven,1936-11-25,Emanuel Cohen Productions
"Sing, Baby, Sing",1936-08-21,Twentieth Century Fox
General Spanky,1936-12-11,Hal Roach Studios
The Texas Rangers,1936-08-28,Paramount Pictures
That Girl from Paris,1936-12-31,RKO Radio Pictures
Lloyd's of London,1936-11-25,20th Century Fox
The Magnificent Brute,1936-10-11,Universal Pictures
Cain and Mabel,1936-09-26,Cosmopolitan Pictures
Dancing Pirate,1936-05-22,Pioneer Pictures
Gold Diggers of 1937,1936-12-26,Warner Bros.
The Last of the Mohicans,1936-09-04,Edward Small Productions
The Awful Truth,1937-10-21,Columbia Pictures
Captains Courageous,1937-05-11,Metro-Goldwyn-Mayer
Dead End,1937-08-27,Samuel Goldwyn Productions
The Good Earth,1937-01-29,Metro-Goldwyn-Mayer
In Old Chicago,1938-01-06,Darryl F. Zanuck Productions
Lost Horizon,1937-03-02,Columbia Pictures
One Hundred Men and a Girl,1937-09-05,Universal Pictures
Stage Door,1937-10-08,RKO Radio Pictures
A Star Is Born,1937-04-20,Selznick International Pictures
Conquest,1937-10-22,Metro-Goldwyn-Mayer
Night Must Fall,1937-04-30,Metro-Goldwyn-Mayer
Camille,1936-12-12,Metro-Goldwyn-Mayer
Stella Dallas,1937-08-06,Samuel Goldwyn Productions
The Hurricane,1937-11-09,Samuel Goldwyn Productions
Topper,1937-07-16,Hal Roach Studios
Black Legion,1937-01-27,Warner Bros.
The Private Life of the Gannets,1999-09-19,London Film Productions
The Old Mill,1937-11-05,Walt Disney Productions
Educated Fish,1937-10-29,Fleischer Studios
Make a Wish,1937-08-27,Principal Productions
Maytime,1937-03-26,Metro-Goldwyn-Mayer
Portia on Trial,1937-11-08,Republic Pictures
The Prisoner of Zenda,1937-09-02,Selznick International Pictures
Quality Street,1937-03-26,RKO Radio Pictures
Snow White and the Seven Dwarfs,1937-12-21,Walt Disney Productions
Something to Sing About,1937-09-30,Zion Meyers Productions
Souls at Sea,1937-08-09,Paramount Pictures
Way Out West,1937-04-16,Hal Roach Studios
Waikiki Wedding,1937-03-23,Paramount Pictures
Mr. Dodd Takes the Air,1937-08-21,Warner Bros.
Vogues of 1938,1937-08-12,Walter Wanger Productions
Shall We Dance,1937-05-07,RKO Radio Pictures
The Girl Said No,1937-10-15,Andrew L. Stone Productions
Hitting a New High,1937-12-24,RKO Radio Pictures
Wells Fargo,1937-12-31,Paramount Pictures
A Damsel in Distress,1937-11-19,RKO Radio Pictures
Every Day's a Holiday,1937-12-18,Major Pictures
Manhattan Merry-Go-Round,1937-11-26,Republic Pictures
You're a Sweetheart,1937-12-26,Universal Pictures
Wings over Honolulu,1937-05-16,Universal Pictures
Ali Baba Goes to Town,1937-10-29,20th Century Fox
"Ready, Willing, and Able",1937-03-06,Warner Bros.
Thin Ice,1937-09-03,Twentieth Century-Fox
You Can't Take It with You,1938-08-23,Columbia Pictures
The Adventures of Robin Hood,1938-05-14,Warner Bros. Pictures
Boys Town,1938-09-09,Metro-Goldwyn-Mayer
The Citadel,1938-11-03,Metro-Goldwyn-Mayer British
Four Daughters,1938-08-09,Warner Bros.
La Grande Illusion,1937-06-08,Réalisation d'Art Cinématographique
Jezebel,1938-03-10,Warner Bros.
Test Pilot,1938-04-15,Metro-Goldwyn-Mayer
Algiers,1938-08-05,Walter Wanger Productions
White Banners,1938-06-22,Warner Bros.
Marie Antoinette,1938-07-08,Metro-Goldwyn-Mayer
Three Comrades,1938-06-02,Metro-Goldwyn-Mayer
Kentucky,1938-12-30,20th Century Fox
Of Human Hearts,1938-02-11,Metro-Goldwyn-Mayer
Merrily We Live,1938-02-08,Hal Roach Studios
Blockade,1938-06-16,Walter Wanger Productions
Mad About Music,1938-02-01,Universal Pictures
Ferdinand the Bull,1938-11-25,Walt Disney Productions
Brave Little Tailor,1938-09-23,Walt Disney Productions
Good Scouts,1938-07-08,Walt Disney Productions
Mother Goose Goes Hollywood,1938-12-23,Walt Disney Productions
Army Girl,1938-08-11,Republic Pictures
Block-Heads,1938-08-19,Hal Roach Studios
Breaking the Ice,1938-08-26,Principal Productions
The Cowboy and the Lady,1938-11-17,Samuel Goldwyn Productions
The Young in Heart,1938-11-03,Selznick International Pictures
Carefree,1938-09-02,RKO Radio Pictures
The Goldwyn Follies,1938-02-04,Samuel Goldwyn Productions
Storm Over Bengal,1938-11-14,Republic Pictures
Sweethearts,1938-12-22,Metro-Goldwyn-Mayer
There Goes My Heart,1938-10-14,Hal Roach Studios
Mannequin,1937-12-14,Metro-Goldwyn-Mayer
Under Western Stars,1938-04-20,Republic Pictures
Going Places,1938-12-31,Warner Bros.
The Lady Objects,1938-10-12,Columbia Pictures
That Certain Age,1938-10-07,Universal Pictures
Vivacious Lady,1938-05-13,RKO Radio Pictures
The Adventures of Tom Sawyer,1938-02-17,Selznick International Pictures
Holiday,1938-06-15,Columbia Pictures
The Buccaneer,1938-02-04,Paramount Pictures
Gone with the Wind,1939-12-15,Selznick International Pictures
Gone with the Wind,1939-12-15,Metro-Goldwyn-Mayer
Dark Victory,1939-04-22,Warner Bros.
"Goodbye, Mr. Chips",1939-05-15,Metro-Goldwyn-Mayer
Love Affair,1939-04-07,RKO Radio Pictures
Of Mice and Men,1939-12-30,Hal Roach Studios
Stagecoach,1939-02-02,Walter Wanger Productions
The Wizard of Oz,1939-08-10,Metro-Goldwyn-Mayer
Wuthering Heights,1939-03-24,Samuel Goldwyn Productions
Juarez,1939-04-24,Warner Bros.
Beau Geste,1939-07-24,Paramount Pictures
Young Mr. Lincoln,1939-06-09,Cosmopolitan Productions
Sons of Liberty,1939-05-20,Warner Bros.
