title,releaseDate,productionCompany
Mary Poppins Returns,2018-11-29,Lucamar Productions
Mary Poppins Returns,2018-11-29,Marc Platt Productions
The Ballad of Buster Scruggs,2018-08-31,Annapurna Pictures
The Ballad of Buster Scruggs,2018-08-31,Mike Zoss Productions
Bohemian Rhapsody,2018-10-23,20th Century Fox
Bohemian Rhapsody,2018-10-23,Regency Enterprises
Bohemian Rhapsody,2018-10-23,GK Films
Bohemian Rhapsody,2018-10-23,Queen Films
Black Panther,2018-01-29,Marvel Studios
First Man,2018-08-29,DreamWorks Pictures
First Man,2018-08-29,Perfect World Pictures
First Man,2018-08-29,Temple Hill Entertainment
A Quiet Place,2018-03-09,Platinum Dunes
A Quiet Place,2018-03-09,Sunday Night Productions
Roma,2018-08-30,Espectáculos Fílmicos El Coyúl
Roma,2018-08-30,Pimienta Films
Roma,2018-08-30,Participant Media
Roma,2018-08-30,Esperanto-Filmoj
Bohemian Rhapsody,2018-10-23,20th Century Fox
Bohemian Rhapsody,2018-10-23,Regency Enterprises
Bohemian Rhapsody,2018-10-23,GK Films
Bohemian Rhapsody,2018-10-23,Queen Films
Black Panther,2018-01-29,Marvel Studios
First Man,2018-08-29,DreamWorks Pictures
First Man,2018-08-29,Perfect World Pictures
First Man,2018-08-29,Temple Hill Entertainment
Roma,2018-08-30,Espectáculos Fílmicos El Coyúl
Roma,2018-08-30,Pimienta Films
Roma,2018-08-30,Participant Media
Roma,2018-08-30,Esperanto-Filmoj
A Star Is Born,2018-08-31,Metro-Goldwyn-Mayer Pictures
A Star Is Born,2018-08-31,Live Nation Productions
A Star Is Born,2018-08-31,Gerber Pictures
A Star Is Born,2018-08-31,Peters Entertainment
A Star Is Born,2018-08-31,Joint Effort
Black Panther,2018-01-29,Marvel Studios
The Favourite,2018-08-30,Scarlet Films
The Favourite,2018-08-30,Element Pictures
The Favourite,2018-08-30,Arcana
The Favourite,2018-08-30,Film4
The Favourite,2018-08-30,Waypoint Entertainment
First Man,2018-08-29,DreamWorks Pictures
First Man,2018-08-29,Perfect World Pictures
First Man,2018-08-29,Temple Hill Entertainment
Mary Poppins Returns,2018-11-29,Walt Disney Pictures
Mary Poppins Returns,2018-11-29,Lucamar Productions
Mary Poppins Returns,2018-11-29,Marc Platt Productions
Roma,2018-08-30,Espectáculos Fílmicos El Coyúl
Roma,2018-08-30,Pimienta Films
Roma,2018-08-30,Participant Media
Roma,2018-08-30,Esperanto-Filmoj
Roma,2018-08-30,Espectáculos Fílmicos El Coyúl
Roma,2018-08-30,Pimienta Films
Roma,2018-08-30,Participant Media
Roma,2018-08-30,Esperanto-Filmoj
Cold War,2018-05-10,Opus Film
Cold War,2018-05-10,Polish Film Institute
Cold War,2018-05-10,mk2 Films
Cold War,2018-05-10,Film4
Cold War,2018-05-10,BFI
Cold War,2018-05-10,Protagonist Pictures
Cold War,2018-05-10,Apocalypso Pictures
Cold War,2018-05-10,MK Productions
The Favourite,2018-08-30,Scarlet Films
The Favourite,2018-08-30,Element Pictures
The Favourite,2018-08-30,Arcana
The Favourite,2018-08-30,Film4
The Favourite,2018-08-30,Waypoint Entertainment
Never Look Away,2018-09-04,Wiedemann & Berg Film Production
A Star Is Born,2018-08-31,Metro-Goldwyn-Mayer Pictures
A Star Is Born,2018-08-31,Live Nation Productions
A Star Is Born,2018-08-31,Gerber Pictures
A Star Is Born,2018-08-31,Peters Entertainment
A Star Is Born,2018-08-31,Joint Effort
Vice,2018-12-11,Annapurna Pictures
Vice,2018-12-11,Plan B Entertainment
Vice,2018-12-11,Gary Sanchez Productions
Border,2018-05-10,META Film
Border,2018-05-10,Black Spark Film & TV
Border,2018-05-10,Karnfilm
Mary Queen of Scots,2018-11-15,Perfect World Pictures
Mary Queen of Scots,2018-11-15,Working Title Films
Black Panther,2018-01-29,Marvel Studios
The Ballad of Buster Scruggs,2018-08-31,Annapurna Pictures
The Ballad of Buster Scruggs,2018-08-31,Mike Zoss Productions
The Favourite,2018-08-30,Scarlet Films
The Favourite,2018-08-30,Element Pictures
The Favourite,2018-08-30,Arcana
The Favourite,2018-08-30,Film4
The Favourite,2018-08-30,Waypoint Entertainment
Mary Poppins Returns,2018-11-29,Walt Disney Pictures
Mary Poppins Returns,2018-11-29,Lucamar Productions
Mary Poppins Returns,2018-11-29,Marc Platt Productions
Mary Queen of Scots,2018-11-15,Perfect World Pictures
Mary Queen of Scots,2018-11-15,Working Title Films
Bohemian Rhapsody,2018-10-23,20th Century Fox
Bohemian Rhapsody,2018-10-23,Regency Enterprises
Bohemian Rhapsody,2018-10-23,GK Films
Bohemian Rhapsody,2018-10-23,Queen Films
BlacKkKlansman,2018-05-14,Blumhouse Productions
BlacKkKlansman,2018-05-14,Monkeypaw Productions
BlacKkKlansman,2018-05-14,QC Entertainment
BlacKkKlansman,2018-05-14,40 Acres and a Mule Filmworks
BlacKkKlansman,2018-05-14,Legendary Entertainment
BlacKkKlansman,2018-05-14,Perfect World Pictures
The Favourite,2018-08-30,Scarlet Films
The Favourite,2018-08-30,Element Pictures
The Favourite,2018-08-30,Arcana
The Favourite,2018-08-30,Film4
The Favourite,2018-08-30,Waypoint Entertainment
Green Book,2018-09-11,Participant Media
Green Book,2018-09-11,DreamWorks Pictures
Green Book,2018-09-11,Innisfree Pictures
Green Book,2018-09-11,Cinetic Media
Green Book,2018-09-11,Alibaba Pictures
Vice,2018-12-11,Annapurna Pictures
Vice,2018-12-11,Plan B Entertainment
Vice,2018-12-11,Gary Sanchez Productions
First Man,2018-08-29,DreamWorks Pictures
First Man,2018-08-29,Perfect World Pictures
First Man,2018-08-29,Temple Hill Entertainment
Avengers: Infinity War,2018-04-23,Marvel Studios
Christopher Robin,2018-07-30,Walt Disney Pictures
Christopher Robin,2018-07-30,2DUX² Productions
Ready Player One,2018-03-11,Warner Bros. Pictures
Ready Player One,2018-03-11,Amblin Partners
Ready Player One,2018-03-11,Amblin Entertainment
Ready Player One,2018-03-11,De Line Pictures
Solo: A Star Wars Story,2018-05-10,Lucasfilm Ltd.
